rCH1             rCH2             rCO            aH1CO           aH1CO            D                  E
1.10000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     5.52600898E+03
1.11000000E+00  1.11000000E+00  1.21000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     4.58974791E+03
1.12000000E+00  1.09000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     3.77234419E+03
1.11000000E+00  1.10000000E+00  1.20000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     4.46075830E+03
1.11000000E+00  1.11000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     4.81842335E+03
1.12000000E+00  1.11000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     4.00644352E+03
1.11000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     4.61107837E+03
1.11000000E+00  1.11000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     4.83133327E+03
1.08000000E+00  1.11000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     7.76330013E+03
1.12000000E+00  1.10000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     3.91859816E+03
1.11000000E+00  1.11000000E+00  1.20000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     4.44124857E+03
1.09000000E+00  1.10000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     6.50930436E+03
1.09000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     6.71618870E+03
1.09000000E+00  1.11000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     6.61331963E+03
1.11000000E+00  1.10000000E+00  1.22000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     4.98729019E+03
1.09000000E+00  1.11000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     6.48141947E+03
1.12000000E+00  1.09000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     4.06426680E+03
1.09000000E+00  1.11000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     6.74782870E+03
1.11000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     4.95605858E+03
1.09000000E+00  1.10000000E+00  1.22000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     6.94585608E+03
1.11000000E+00  1.11000000E+00  1.20000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     4.58771649E+03
1.12000000E+00  1.12000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     3.87807885E+03
1.10000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     5.62090869E+03
1.09000000E+00  1.10000000E+00  1.21000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     6.53452379E+03
1.12000000E+00  1.11000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     3.90255233E+03
1.12000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     3.86451187E+03
1.09000000E+00  1.11000000E+00  1.21000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     6.68547443E+03
1.09000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     6.94160705E+03
1.09000000E+00  1.11000000E+00  1.21000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     6.50830666E+03
1.12000000E+00  1.10000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     3.76335003E+03
1.12000000E+00  1.12000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     3.72154098E+03
1.09000000E+00  1.09000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     6.82524310E+03
1.11000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     4.69756579E+03
1.08000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     7.97383009E+03
1.10000000E+00  1.10000000E+00  1.22000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     5.77318541E+03
1.08000000E+00  1.09000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     7.84995944E+03
1.09000000E+00  1.09000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     6.69534225E+03
1.10000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.24000000E+02  1.76000000E+02     5.70824554E+03
1.11000000E+00  1.11000000E+00  1.22000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     4.96742839E+03
1.12000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     3.97595784E+03
1.08000000E+00  1.10000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     7.65645609E+03
1.12000000E+00  1.11000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     3.74675055E+03
1.12000000E+00  1.11000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     3.84739035E+03
1.11000000E+00  1.11000000E+00  1.21000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     4.93789260E+03
1.09000000E+00  1.11000000E+00  1.22000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     6.91816779E+03
1.12000000E+00  1.09000000E+00  1.21000000E+00  1.22000000E+02  1.22000000E+02  1.76000000E+02     3.95917990E+03
1.09000000E+00  1.10000000E+00  1.20000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     6.39545777E+03
1.09000000E+00  1.09000000E+00  1.21000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     6.77131034E+03
1.08000000E+00  1.11000000E+00  1.20000000E+00  1.22000000E+02  1.22000000E+02  1.80000000E+02     7.62466791E+03
1.11000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.24000000E+02  1.76000000E+02     4.79735756E+03
1.09000000E+00  1.11000000E+00  1.20000000E+00  1.24000000E+02  1.22000000E+02  1.80000000E+02     6.36854221E+03
1.11000000E+00  1.11000000E+00  1.20000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     4.67655299E+03
1.09000000E+00  1.09000000E+00  1.22000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     6.99797699E+03
1.09000000E+00  1.11000000E+00  1.21000000E+00  1.20000000E+02  1.20000000E+02  1.80000000E+02     6.91560589E+03
1.08000000E+00  1.11000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.80000000E+02     7.94143119E+03
1.09000000E+00  1.10000000E+00  1.20000000E+00  1.20000000E+02  1.24000000E+02  1.80000000E+02     6.57025509E+03
1.12000000E+00  1.10000000E+00  1.21000000E+00  1.20000000E+02  1.22000000E+02  1.76000000E+02     4.05419117E+03
1.10000000E+00  1.10000000E+00  1.21000000E+00  1.24000000E+02  1.22000000E+02  1.76000000E+02     5.53979272E+03
